Latin Name,Colloquial Name,Taxonomy
lomographa glomeraria,Gray Spring Moth,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Geometroidea,Geometridae,Ennominae,Baptini,Lomographa"
lomographa vestaliata,White Spring Moth,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Geometroidea,Geometridae,Ennominae,Baptini,Lomographa"
lytrosis unitaria,Common Lytrosis Moth,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Geometroidea,Geometridae,Ennominae,Gnophini,Lytrosis"
macaria aemulataria,Common Angle,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Geometroidea,Geometridae,Ennominae,Macariini,Macaria,Macaria notata"
macaria alternata,Sharp-angled Peacock Moth,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Geometroidea,Geometridae,Ennominae,Macariini,Macaria,Macaria notata"
macaria bisignata,Red-headed Inchworm Moth,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Geometroidea,Geometridae,Ennominae,Macariini,Macaria,Macaria bicolorata"
macaria liturata,Tawny-barred Angle,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Geometroidea,Geometridae,Ennominae,Macariini,Macaria,Macaria bicolorata"
macaria pustularia,Lesser Maple Spanworm Moth,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Geometroidea,Geometridae,Ennominae,Macariini,Macaria"
melanchroia chephise,White-tipped Black,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Geometroidea,Geometridae,Ennominae,Boarmiini,Melanchroia"
melanodes anthracitaria,Black Geometrid,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Geometroidea,Geometridae,Ennominae,Nacophorini,Melanodes"
melanolophia canadaria,Canadian Melanolophia Moth,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Geometroidea,Geometridae,Ennominae,Boarmiini,Melanolophia"
melanolophia imitata,Western Carpet,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Geometroidea,Geometridae,Ennominae,Boarmiini,Melanolophia"
mellilla xanthometata,Orange Wing,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Geometroidea,Geometridae,Ennominae,Macariini,Mellilla"
mesoleuca ruficillata,White-ribboned Carpet Moth,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Geometroidea,Geometridae,Larentiinae,Larentiini,Mesoleuca"
metanema inatomaria,Pale Metanema Moth,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Geometroidea,Geometridae,Ennominae,Anagogini,Metanema"
nematocampa resistaria,Horned Spanworm Moth,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Geometroidea,Geometridae,Ennominae,Ennomini,Nematocampa"
nemoria bistriaria,Red-fringed Emerald,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Geometroidea,Geometridae,Geometrinae,Nemoriini,Nemoria"
nemoria lixaria,Red-bordered Emerald,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Geometroidea,Geometridae,Geometrinae,Nemoriini,Nemoria"
nemoria mimosaria,White-fringed Emerald,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Geometroidea,Geometridae,Geometrinae,Nemoriini,Nemoria"
neoalcis californiaria,Brown-lined Looper,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Geometroidea,Geometridae,Ennominae,Boarmiini,Neoalcis"
nepytia canosaria,False Hemlock Looper Moth,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Geometroidea,Geometridae,Ennominae,Ennomini,Nepytia"
obeidia tigrata,Orange Magpie Moth,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Geometroidea,Geometridae,Ennominae,Epobeidia"
odezia atrata,Chimney-sweeper,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Geometroidea,Geometridae,Larentiinae,Chesiadini,Odezia"
operophtera bruceata,Bruce Spanworm Moth,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Geometroidea,Geometridae,Larentiinae,Operophterini,Operophtera"
operophtera brumata,Winter Moth,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Geometroidea,Geometridae,Larentiinae,Operophterini,Operophtera"
opisthograptis luteolata,Brimstone Moth,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Geometroidea,Geometridae,Ennominae,Epionini,Opisthograptis"
orthonama obstipata,Gem Moth,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Geometroidea,Geometridae,Larentiinae,Xanthorhoini,Orthonama"
ourapteryx sambucaria,Swallow-tailed Moth,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Geometroidea,Geometridae,Ennominae,Ennomini,Ourapteryx"
paleacrita vernata,Spring Cankerworm Moth,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Geometroidea,Geometridae,Ennominae,Boarmiini,Paleacrita"
pasiphila rectangulata,Green Pug,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Geometroidea,Geometridae,Larentiinae,Eupitheciini,Pasiphila"
patalene olyzonaria,Juniper Geometer Moth,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Geometroidea,Geometridae,Ennominae,Ennomini,Patalene"
peribatodes rhomboidaria,Willow Beauty,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Geometroidea,Geometridae,Ennominae,Boarmiini,Peribatodes"
perizoma alchemillata,Small Rivulet,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Geometroidea,Geometridae,Larentiinae,Perizomini,Perizoma"
phaeoura quernaria,American Oak Beauty,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Geometroidea,Geometridae,Ennominae,Nacophorini,Phaeoura"
phigalia strigataria,Small Phigalia Moth,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Geometroidea,Geometridae,Ennominae,Boarmiini,Phigalia"
phigalia titea,Half-wing Moth,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Geometroidea,Geometridae,Ennominae,Boarmiini,Phigalia"
pholodes sinistraria,Sinister Moth,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Geometroidea,Geometridae,Ennominae,Boarmiini,Pholodes"
phrissogonus laticostata,Apple Looper,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Geometroidea,Geometridae,Larentiinae,Eupitheciini,Phrissogonus"
plagodis alcoolaria,Hollow-spotted Plagodis Moth,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Geometroidea,Geometridae,Ennominae,Anagogini,Plagodis"
plagodis phlogosaria,Straight-lined Plagodis Moth,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Geometroidea,Geometridae,Ennominae,Anagogini,Plagodis"
plagodis pulveraria,Barred Umber,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Geometroidea,Geometridae,Ennominae,Anagogini,Plagodis"
plagodis serinaria,Lemon Plagodis Moth,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Geometroidea,Geometridae,Ennominae,Anagogini,Plagodis"
pleuroprucha insulsaria,Common Tan Wave,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Geometroidea,Geometridae,Sterrhinae,Cosymbiini,Pleuroprucha"
prasinocyma semicrocea,Common Gum Emerald,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Geometroidea,Geometridae,Geometrinae,Prasinocyma"
probole amicaria,Friendly Probole Moth,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Geometroidea,Geometridae,Ennominae,Anagogini,Probole"
prochoerodes lineola,Large Maple Spanworm Moth,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Geometroidea,Geometridae,Ennominae,Ennomini,Prochoerodes"
protoboarmia porcelaria,Porcelain Gray,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Geometroidea,Geometridae,Ennominae,Boarmiini,Protoboarmia"
psamatodes abydata,Dot-lined Angle,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Geometroidea,Geometridae,Ennominae,Macariini,Psamatodes,Psamatodes abydata"
pseudocoremia suavis,Common Forest Looper,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Geometroidea,Geometridae,Ennominae,Boarmiini,Pseudocoremia"
pseudopanthera macularia,Speckled Yellow,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Geometroidea,Geometridae,Ennominae,Epionini,Pseudopanthera"
rhodometra sacraria,Vestal,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Geometroidea,Geometridae,Sterrhinae,Rhodometrini,Rhodometra"
sabulodes aegrotata,Omnivorous Looper,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Geometroidea,Geometridae,Ennominae,Ennomini,Sabulodes"
scopula immorata,Lewes Wave,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Geometroidea,Geometridae,Sterrhinae,Scopulini,Scopula"
scopula limboundata,Large Lace-border Moth,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Geometroidea,Geometridae,Sterrhinae,Scopulini,Scopula"
scopula rubraria,Plantain moth,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Geometroidea,Geometridae,Sterrhinae,Scopulini,Scopula"
scotopteryx chenopodiata,Shaded Broad-bar,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Geometroidea,Geometridae,Larentiinae,Xanthorhoini,Scotopteryx"
sicya macularia,Sharp-lined Yellow,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Geometroidea,Geometridae,Ennominae,Ennomini,Sicya"
sigilliclystis insigillata,Insigillated Pug,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Geometroidea,Geometridae,Larentiinae,Eupitheciini,Sigilliclystis"
siona lineata,Black-veined Moth,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Geometroidea,Geometridae,Ennominae,Gnophini,Siona"
synchlora aerata,Wavy-lined Emerald,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Geometroidea,Geometridae,Geometrinae,Nemoriini,Synchlora,Synchlora aerata"
synchlora frondaria,Southern Emerald,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Geometroidea,Geometridae,Geometrinae,Nemoriini,Synchlora,Synchlora aerata"
tetracis cachexiata,White Slant-line,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Geometroidea,Geometridae,Ennominae,Ennomini,Tetracis"
tetracis crocallata,Yellow Slant-line,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Geometroidea,Geometridae,Ennominae,Ennomini,Tetracis"
timandra amaturaria,Cross-lined Wave,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Geometroidea,Geometridae,Sterrhinae,Timandrini,Timandra"
timandra comae,Blood Vein,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Geometroidea,Geometridae,Sterrhinae,Timandrini,Timandra"
traminda aventiaria,Cross-line Wave Moth,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Geometroidea,Geometridae,Sterrhinae,Rhodometrini,Traminda"
trichodezia albovittata,White-striped Black,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Geometroidea,Geometridae,Larentiinae,Cidariini,Trichodezia"
triphosa haesitata,Tissue Moth,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Geometroidea,Geometridae,Larentiinae,Triphosini,Triphosa"
xanthorhoe ferrugata,Dark-barred Twin-spot Carpet,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Geometroidea,Geometridae,Larentiinae,Xanthorhoini,Xanthorhoe"
xanthorhoe fluctuata,Garden Carpet,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Geometroidea,Geometridae,Larentiinae,Xanthorhoini,Xanthorhoe"
xanthorhoe lacustrata,Toothed Brown Carpet,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Geometroidea,Geometridae,Larentiinae,Xanthorhoini,Xanthorhoe"
xanthorhoe montanata,Silver-ground Carpet,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Geometroidea,Geometridae,Larentiinae,Xanthorhoini,Xanthorhoe"
cameraria ohridella,Horse-chestnut Leafminer,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Gracillarioidea,Gracillariidae,Lithocolletinae,Cameraria"
phyllocnistis populiella,Aspen Serpentine Leafminer Moth,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Gracillarioidea,Gracillariidae,Phyllocnistinae,Phyllocnistis"
aenetus virescens,Puriri moth,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Hepialoidea,Hepialidae,Aenetus"
korscheltellus lupulina,Common Swift Moth,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Hepialoidea,Hepialidae,Korscheltellus"
triodia sylvina,Orange Swift,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Hepialoidea,Hepialidae,Triodia"
achalarus lyciades,Hoary Edge,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Papilionoidea,Hesperiidae,Eudaminae,Eudamini,Eudamina,Thorybes"
achlyodes pallida,Pale Sicklewing,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Papilionoidea,Hesperiidae,Pyrginae,Achlyodini,Achlyodina,Eantis"
amblyscirtes celia,Celia's Roadside-Skipper,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Papilionoidea,Hesperiidae,Hesperiinae,Hesperiini,Moncina,Amblyscirtes,Amblyscirtes"
ampittia dioscorides,Common Bush Hopper,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Papilionoidea,Hesperiidae,Hesperiinae,Aeromachini,Ampittia"
anatrytone logan,Delaware Skipper,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Papilionoidea,Hesperiidae,Hesperiinae,Hesperiini,Hesperiina,Anatrytone"
ancyloxypha numitor,Least Skipper,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Papilionoidea,Hesperiidae,Hesperiinae,Hesperiini,Apaustina,Ancyloxypha"
antigonus erosus,Common Spurwing,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Papilionoidea,Hesperiidae,Pyrginae,Pyrgini,Antigonus"
asbolis capucinus,Monk Skipper,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Papilionoidea,Hesperiidae,Hesperiinae,Hesperiini,Anthoptina,Asbolis"
astraptes fulgerator,Two-barred Flasher,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Papilionoidea,Hesperiidae,Eudaminae,Eudamini,Eudamina,Astraptes"
atalopedes campestris,Huron Sachem,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Papilionoidea,Hesperiidae,Hesperiinae,Hesperiini,Hesperiina,Atalopedes"
autochton cellus,Golden Banded-Skipper,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Papilionoidea,Hesperiidae,Eudaminae,Eudamini,Eudamina,Telegonus"
borbo cinnara,Formosan Swift,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Papilionoidea,Hesperiidae,Hesperiinae,Baorini,Borbo"
burnsius albescens,White Checkered-Skipper,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Papilionoidea,Hesperiidae,Pyrginae,Pyrgini,Burnsius,Burnsius communis"
burnsius communis,Common Checkered-Skipper,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Papilionoidea,Hesperiidae,Pyrginae,Pyrgini,Burnsius,Burnsius communis"
burnsius oileus,Tropical Checkered-Skipper,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Papilionoidea,Hesperiidae,Pyrginae,Pyrgini,Burnsius"
burnsius orcus,Orcus Checkered-Skipper,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Papilionoidea,Hesperiidae,Pyrginae,Pyrgini,Burnsius"
burnsius philetas,Desert Checkered-Skipper,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Papilionoidea,Hesperiidae,Pyrginae,Pyrgini,Burnsius"
calpodes ethlius,Brazilian Skipper,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Papilionoidea,Hesperiidae,Hesperiinae,Hesperiini,Calpodina,Calpodes"
carcharodus alceae,Mallow Skipper,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Papilionoidea,Hesperiidae,Pyrginae,Carcharodini,Carcharodina,Carcharodus"
carterocephalus palaemon,Chequered Skipper,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Papilionoidea,Hesperiidae,Heteropterinae,Heteropterini,Carterocephalus"
chioides albofasciatus,White-striped Longtail,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Papilionoidea,Hesperiidae,Eudaminae,Eudamini,Eudamina,Chioides"
chiomara georgina,White-patched Skipper,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Papilionoidea,Hesperiidae,Pyrginae,Erynnini,Chiothion"
copaeodes aurantiaca,Orange Skipperling,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Papilionoidea,Hesperiidae,Hesperiinae,Hesperiini,Thymelicina,Copaeodes"
copaeodes minima,Southern Skipperling,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Papilionoidea,Hesperiidae,Hesperiinae,Hesperiini,Thymelicina,Copaeodes"
daimio tethys,White-banded Flat,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Papilionoidea,Hesperiidae,Tagiadinae,Tagiadini,Daimio"
eantis tamenund,Sickle-winged Skipper,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Papilionoidea,Hesperiidae,Pyrginae,Achlyodini,Achlyodina,Eantis"
epargyreus clarus,Silver-spotted Skipper,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Papilionoidea,Hesperiidae,Eudaminae,Eudamini,Eudamina,Epargyreus"
erynnis baptisiae,Wild Indigo Duskywing,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Papilionoidea,Hesperiidae,Pyrginae,Erynnini,Erynnis"
erynnis brizo,Sleepy Duskywing,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Papilionoidea,Hesperiidae,Pyrginae,Erynnini,Erynnis"
erynnis funeralis,Funereal Duskywing,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Papilionoidea,Hesperiidae,Pyrginae,Erynnini,Erynnis"
erynnis horatius,Horace's Duskywing,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Papilionoidea,Hesperiidae,Pyrginae,Erynnini,Erynnis"
erynnis icelus,Dreamy Duskywing,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Papilionoidea,Hesperiidae,Pyrginae,Erynnini,Erynnis"
erynnis juvenalis,Juvenal's Duskywing,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Papilionoidea,Hesperiidae,Pyrginae,Erynnini,Erynnis"
erynnis propertius,Propertius Duskywing,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Papilionoidea,Hesperiidae,Pyrginae,Erynnini,Erynnis"
erynnis tages,Dingy Skipper,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Papilionoidea,Hesperiidae,Pyrginae,Erynnini,Erynnis"
erynnis tristis,Mournful Duskywing,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Papilionoidea,Hesperiidae,Pyrginae,Erynnini,Erynnis"
euphyes dion,Dion Skipper,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Papilionoidea,Hesperiidae,Hesperiinae,Hesperiini,Hesperiina,Euphyes"
euphyes vestris,Dun Skipper,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Papilionoidea,Hesperiidae,Hesperiinae,Hesperiini,Hesperiina,Euphyes"
heliopetes ericetorum,Northern White-Skipper,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Papilionoidea,Hesperiidae,Pyrginae,Pyrgini,Heliopetes,Leucoscirtes"
heliopetes laviana,Laviana White-Skipper,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Papilionoidea,Hesperiidae,Pyrginae,Pyrgini,Heliopetes,Leucoscirtes"
hesperia colorado,Western Branded Skipper,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Papilionoidea,Hesperiidae,Hesperiinae,Hesperiini,Hesperiina,Hesperia"
hesperia comma,Common Branded Skipper,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Papilionoidea,Hesperiidae,Hesperiinae,Hesperiini,Hesperiina,Hesperia"
hesperia leonardus,Leonard's Skipper,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Papilionoidea,Hesperiidae,Hesperiinae,Hesperiini,Hesperiina,Hesperia"
hylephila phyleus,Fiery Skipper,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Papilionoidea,Hesperiidae,Hesperiinae,Hesperiini,Hesperiina,Hylephila"
iambrix salsala,Chestnut Bob,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Papilionoidea,Hesperiidae,Hesperiinae,Ismini,Iambrix"
lerema accius,Clouded Skipper,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Papilionoidea,Hesperiidae,Hesperiinae,Hesperiini,Moncina,Lerema"
lerodea eufala,Eufala Skipper,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Papilionoidea,Hesperiidae,Hesperiinae,Hesperiini,Moncina,Lerodea"
lon hobomok,Hobomok Skipper,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Papilionoidea,Hesperiidae,Hesperiinae,Hesperiini,Hesperiina,Lon"
lon melane,Umber Skipper,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Papilionoidea,Hesperiidae,Hesperiinae,Hesperiini,Hesperiina,Lon"
lon taxiles,Taxiles Skipper,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Papilionoidea,Hesperiidae,Hesperiinae,Hesperiini,Hesperiina,Lon"
lon zabulon,Zabulon Skipper,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Papilionoidea,Hesperiidae,Hesperiinae,Hesperiini,Hesperiina,Lon"
notocrypta curvifascia,Restricted Demon,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Papilionoidea,Hesperiidae,Hesperiinae,Erionotini,Notocrypta"
notocrypta paralysos,common banded demon,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Papilionoidea,Hesperiidae,Hesperiinae,Erionotini,Notocrypta"
ochlodes agricola,Rural Skipper,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Papilionoidea,Hesperiidae,Hesperiinae,Hesperiini,Hesperiina,Ochlodes"
ochlodes sylvanoides,Woodland Skipper,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Papilionoidea,Hesperiidae,Hesperiinae,Hesperiini,Hesperiina,Ochlodes"
ochlodes sylvanus,Large Skipper,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Papilionoidea,Hesperiidae,Hesperiinae,Hesperiini,Hesperiina,Ochlodes"
ocybadistes walkeri,Yellow-banded Dart,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Papilionoidea,Hesperiidae,Hesperiinae,Taractrocerini,Ocybadistes"
oligoria maculata,Twin-spot Skipper,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Papilionoidea,Hesperiidae,Hesperiinae,Hesperiini,Hesperiina,Oligoria"
panoquina ocola,Ocola Skipper,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Papilionoidea,Hesperiidae,Hesperiinae,Hesperiini,Calpodina,Panoquina"
pelopidas mathias,Small Branded Swift,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Papilionoidea,Hesperiidae,Hesperiinae,Baorini,Pelopidas"
phocides polybius,Guava Skipper,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Papilionoidea,Hesperiidae,Eudaminae,Phocidini,Phocides"
pholisora catullus,Common Sootywing,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Papilionoidea,Hesperiidae,Pyrginae,Carcharodini,Pholisora"
poanes viator,Broad-winged Skipper,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Papilionoidea,Hesperiidae,Hesperiinae,Hesperiini,Hesperiina,Poanes"
polites mystic,Long Dash,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Papilionoidea,Hesperiidae,Hesperiinae,Hesperiini,Hesperiina,Polites,Limochores"
polites peckius,Peck's Skipper,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Papilionoidea,Hesperiidae,Hesperiinae,Hesperiini,Hesperiina,Polites,Polites"
polites sabuleti,Sandhill Skipper,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Papilionoidea,Hesperiidae,Hesperiinae,Hesperiini,Hesperiina,Polites,Polites"
polites themistocles,Tawny-edged Skipper,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Papilionoidea,Hesperiidae,Hesperiinae,Hesperiini,Hesperiina,Polites,Polites"
polites vibex,Whirlabout,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Papilionoidea,Hesperiidae,Hesperiinae,Hesperiini,Hesperiina,Polites,Hedone"
pompeius verna,Little Glassywing,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Papilionoidea,Hesperiidae,Hesperiinae,Hesperiini,Hesperiina,Vernia"
